Student_ID,Sinhala_Tamil,Sinhala_Tamil_Grade,Maths,Maths_Grade,Science,Science_Grade,Buddhism,Buddhism_Grade,English,English_Grade,History,History_Grade,Basket1_Subject,Basket1_Marks,Basket1_Grade,Basket2_Subject,Basket2_Marks,Basket2_Grade,Basket3_Subject,Basket3_Marks,Basket3_Grade,Total_Marks,Average_Marks,Overall_Grade
STU0001,5,F,83,A,36,C,72,B,36,C,45,C,Agriculture,80,A,Music,99,A,ICT,87,A,543,60.33,B
STU0002,20,F,78,A,77,A,59,B,75,A,48,C,Agriculture,36,C,Dance,50,C,Media,95,A,538,59.78,B
STU0003,65,B,32,F,72,B,74,B,90,A,68,B,Agriculture,60,B,English_Lit,90,A,Health,45,C,596,66.22,B
STU0004,57,B,87,A,65,B,5,F,86,A,22,F,Commerce,71,B,English_Lit,76,A,Health,99,A,568,63.11,B
STU0005,62,B,60,B,52,C,69,B,8,F,55,B,Agriculture,96,A,Dance,95,A,Home_Science,4,F,501,55.67,B
STU0006,57,B,0,F,87,A,25,F,20,F,50,C,Commerce,85,A,Drama,40,C,Home_Science,9,F,373,41.44,C
STU0007,62,B,95,A,33,F,64,B,44,C,87,A,Agriculture,45,C,Sinhala_Lit,40,C,Home_Science,59,B,529,58.78,B
STU0008,55,B,49,C,35,C,45,C,91,A,65,B,Commerce,66,B,Art,85,A,ICT,51,C,542,60.22,B
STU0009,45,C,36,C,77,A,91,A,35,C,53,C,Commerce,20,F,Music,52,C,Media,100,A,509,56.56,B
STU0010,79,A,90,A,67,B,83,A,93,A,85,A,Agriculture,91,A,Art,55,B,Home_Science,53,C,696,77.33,A
STU0011,36,C,69,B,68,B,41,C,85,A,81,A,Commerce,56,B,Drama,63,B,Media,87,A,586,65.11,B
STU0012,64,B,43,C,74,B,47,C,24,F,49,C,Agriculture,49,C,Dance,93,A,Health,49,C,492,54.67,C
STU0013,63,B,36,C,35,C,70,B,90,A,70,B,Commerce,46,C,Art,56,B,Home_Science,74,B,540,60,B
STU0014,84,A,75,A,47,C,37,C,84,A,48,C,Agriculture,74,B,Music,60,B,Media,33,F,542,60.22,B
STU0015,51,C,84,A,69,B,51,C,28,F,72,B,Agriculture,91,A,Music,67,B,Home_Science,89,A,602,66.89,B
STU0016,53,C,68,B,59,B,61,B,82,A,82,A,Commerce,1,F,Music,65,B,ICT,15,F,486,54,C
STU0017,88,A,60,B,44,C,65,B,35,C,100,A,Commerce,68,B,Art,68,B,Home_Science,67,B,595,66.11,B
STU0018,31,F,84,A,38,C,49,C,86,A,55,B,Agriculture,64,B,Dance,36,C,ICT,58,B,501,55.67,B
STU0019,65,B,99,A,67,B,39,C,79,A,75,A,Commerce,77,A,Dance,9,F,Media,61,B,571,63.44,B
STU0020,56,B,7,F,57,B,36,C,61,B,82,A,Agriculture,39,C,Music,64,B,Health,66,B,468,52,C
STU0021,76,A,4,F,42,C,39,C,55,B,94,A,Agriculture,92,A,Dance,59,B,Home_Science,94,A,555,61.67,B
STU0022,45,C,55,B,91,A,95,A,47,C,94,A,Agriculture,58,B,English_Lit,72,B,Media,57,B,614,68.22,B
STU0023,46,C,70,B,52,C,80,A,63,B,99,A,Commerce,86,A,Art,54,C,ICT,37,C,587,65.22,B
